C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
86.8 	44.8 	35.3 	6.0 	-0.6 	-0.7 	174.9 	13.8 	-5.8 	-3.5 	-6.4 	165.3 	-3.2 	4.8 	-10.8 	22.9 	-1.4 	-5.3 	28.9 	0.9 	34.9 	
87.3 	43.8 	35.2 	6.0 	-0.3 	-0.6 	174.5 	19.7 	-6.0 	-3.2 	-7.3 	162.4 	-2.7 	4.8 	-10.6 	22.8 	-1.3 	-5.0 	29.0 	0.9 	35.0 	
87.5 	43.8 	36.3 	6.3 	-0.6 	-0.7 	173.6 	19.8 	-6.0 	-1.8 	-6.5 	166.3 	-3.2 	4.3 	-10.2 	22.9 	-1.3 	-5.2 	29.0 	0.9 	35.1 	
87.3 	42.3 	34.4 	6.1 	-0.1 	-0.9 	172.0 	16.0 	-5.5 	-2.8 	-6.1 	164.7 	-2.7 	4.4 	-10.9 	22.9 	-1.3 	-5.2 	28.8 	0.8 	35.0 	
86.8 	43.7 	35.4 	6.0 	-0.3 	-0.6 	176.7 	17.5 	-6.1 	-3.1 	-7.2 	162.4 	-3.2 	4.6 	-10.7 	23.0 	-1.3 	-5.4 	29.0 	0.6 	35.0 	
86.9 	45.4 	34.4 	5.9 	-0.1 	-0.7 	173.8 	18.7 	-6.1 	-2.6 	-7.0 	169.7 	-3.2 	4.7 	-9.9 	22.9 	-1.2 	-5.0 	28.8 	0.5 	34.8 	
88.3 	44.4 	34.6 	5.9 	-0.7 	-0.3 	178.9 	16.3 	-6.0 	-2.6 	-7.3 	165.1 	-2.9 	4.5 	-11.2 	22.9 	-1.3 	-5.2 	28.9 	0.6 	35.0 	
86.3 	43.8 	34.7 	6.0 	-0.4 	-0.6 	174.4 	17.7 	-6.1 	-2.9 	-7.6 	163.6 	-2.9 	4.5 	-10.8 	22.8 	-1.3 	-5.0 	29.0 	0.6 	35.0 	
87.1 	44.1 	33.8 	5.9 	-0.3 	-0.6 	172.5 	17.5 	-5.9 	-2.1 	-6.7 	165.5 	-2.3 	4.7 	-10.2 	22.9 	-1.3 	-5.4 	28.9 	0.7 	35.0 	
86.3 	43.1 	35.1 	5.9 	-0.6 	-0.6 	176.2 	15.8 	-5.5 	-2.5 	-7.0 	166.7 	-2.9 	4.8 	-10.8 	22.8 	-1.2 	-5.2 	28.8 	0.9 	34.9 	
86.4 	42.4 	34.3 	6.0 	-0.2 	-0.2 	173.6 	16.6 	-6.1 	-3.2 	-6.7 	168.5 	-3.4 	4.6 	-10.1 	22.7 	-1.2 	-5.1 	29.0 	0.8 	34.9 	
86.0 	43.7 	35.7 	6.1 	-0.8 	-0.4 	172.4 	14.7 	-5.8 	-3.5 	-6.8 	164.4 	-2.8 	4.9 	-10.7 	22.8 	-1.4 	-5.2 	28.9 	0.6 	34.7 	
86.7 	43.8 	34.3 	5.7 	-0.6 	-0.8 	178.5 	19.7 	-6.0 	-2.4 	-6.4 	164.8 	-3.2 	5.2 	-10.9 	23.0 	-1.3 	-5.0 	28.9 	0.9 	34.8 	
86.5 	43.0 	35.9 	6.2 	-0.3 	-0.8 	175.8 	19.7 	-5.7 	-2.8 	-6.9 	167.8 	-2.8 	4.4 	-11.1 	23.0 	-1.3 	-5.2 	29.0 	0.8 	34.9 	
86.5 	43.4 	35.5 	6.4 	-0.1 	-0.6 	176.0 	15.7 	-6.2 	-2.7 	-6.9 	168.9 	-3.1 	4.5 	-10.8 	22.9 	-1.3 	-5.2 	29.1 	0.9 	34.8 	
87.0 	43.3 	34.7 	6.3 	-0.3 	-0.5 	178.8 	14.8 	-5.8 	-2.3 	-6.6 	163.0 	-2.9 	4.0 	-10.6 	23.0 	-1.2 	-5.2 	29.1 	0.7 	35.3 	
87.1 	42.7 	35.2 	6.1 	-0.1 	-0.6 	168.2 	21.1 	-5.7 	-3.1 	-6.8 	164.4 	-2.9 	4.7 	-9.8 	22.9 	-1.3 	-5.0 	28.9 	0.8 	35.0 	
86.0 	46.3 	34.8 	5.9 	0.1 	-0.2 	176.7 	14.8 	-6.9 	-2.5 	-5.7 	164.4 	-3.0 	5.2 	-10.2 	22.9 	-1.3 	-5.1 	28.8 	0.7 	35.0 	
86.5 	43.2 	35.2 	6.3 	-0.5 	-0.7 	175.2 	17.5 	-5.7 	-3.2 	-6.1 	167.8 	-2.7 	4.3 	-10.1 	23.0 	-1.3 	-5.4 	29.0 	0.6 	35.3 	
87.4 	44.4 	36.1 	6.3 	-0.2 	-0.4 	173.1 	16.1 	-5.8 	-2.6 	-6.8 	168.3 	-3.2 	5.0 	-10.6 	23.0 	-1.3 	-5.1 	28.9 	0.9 	34.9 	
85.8 	44.8 	35.7 	6.1 	-0.4 	-0.4 	174.8 	17.8 	-5.9 	-3.1 	-6.2 	165.2 	-3.0 	3.8 	-11.0 	22.8 	-1.3 	-5.2 	28.8 	0.7 	35.1 	
87.4 	42.3 	36.7 	6.5 	-0.5 	-0.6 	177.7 	17.4 	-6.3 	-3.6 	-6.1 	167.2 	-2.6 	4.3 	-11.3 	22.9 	-1.4 	-5.2 	29.1 	0.8 	34.9 	
86.6 	44.7 	32.8 	6.0 	-0.6 	-0.9 	167.8 	14.9 	-6.0 	-2.4 	-6.3 	170.0 	-3.3 	4.4 	-10.1 	22.8 	-1.3 	-5.1 	29.2 	0.9 	35.1 	
86.4 	43.8 	34.8 	6.3 	-0.7 	-1.0 	175.7 	17.6 	-5.8 	-3.5 	-6.6 	165.1 	-3.3 	4.7 	-10.6 	22.8 	-1.2 	-5.3 	28.8 	0.8 	35.0 	
87.7 	42.0 	33.8 	6.1 	-0.5 	-0.4 	175.3 	16.8 	-5.4 	-2.8 	-5.7 	165.0 	-3.0 	3.9 	-11.1 	22.8 	-1.3 	-5.2 	29.0 	0.7 	34.9 	
86.5 	45.0 	36.2 	5.9 	-0.6 	-0.7 	176.5 	17.8 	-6.0 	-2.3 	-6.3 	167.9 	-3.0 	4.3 	-11.0 	22.9 	-1.3 	-5.1 	29.1 	0.8 	35.0 	
87.4 	43.4 	34.9 	5.9 	-0.1 	-0.4 	172.4 	15.3 	-6.1 	-2.7 	-6.7 	167.0 	-3.3 	4.3 	-10.6 	22.9 	-1.2 	-5.1 	29.1 	0.6 	35.2 	
86.8 	41.4 	35.8 	6.3 	-0.6 	-0.2 	170.2 	19.6 	-6.5 	-3.2 	-6.5 	160.9 	-3.2 	5.2 	-10.7 	23.0 	-1.3 	-5.2 	29.1 	0.9 	35.1 	
86.4 	42.4 	36.1 	6.0 	0.1 	-0.9 	175.0 	16.8 	-6.2 	-2.8 	-6.3 	165.1 	-2.7 	4.8 	-10.7 	22.9 	-1.3 	-5.1 	29.1 	0.8 	34.8 	
87.0 	43.4 	34.6 	6.0 	-0.2 	-0.5 	170.9 	20.1 	-5.9 	-2.9 	-5.6 	166.4 	-2.7 	4.2 	-10.9 	22.9 	-1.3 	-5.2 	29.1 	0.9 	35.3 	
88.0 	44.5 	35.4 	6.2 	-0.4 	-0.6 	177.3 	21.2 	-5.7 	-2.6 	-6.6 	164.6 	-3.5 	5.3 	-11.1 	22.9 	-1.3 	-5.1 	29.1 	0.8 	34.9 	
87.0 	43.6 	35.9 	6.1 	-0.3 	-0.7 	175.3 	16.5 	-6.0 	-3.3 	-6.6 	169.4 	-2.8 	4.5 	-9.9 	22.8 	-1.3 	-5.3 	29.0 	0.9 	34.8 	
87.7 	45.4 	34.4 	5.9 	-0.4 	-0.6 	170.2 	19.0 	-5.6 	-3.1 	-6.5 	164.0 	-2.7 	5.0 	-11.5 	22.9 	-1.3 	-5.2 	29.1 	0.8 	35.2 	
87.3 	42.7 	35.6 	5.9 	-0.4 	-0.7 	171.6 	16.4 	-6.0 	-2.8 	-6.2 	168.7 	-2.6 	4.7 	-11.4 	22.9 	-1.2 	-5.3 	29.0 	0.7 	35.1 	
87.5 	43.6 	36.2 	6.0 	-0.3 	-0.8 	175.5 	21.6 	-5.7 	-3.0 	-6.9 	170.3 	-3.1 	5.0 	-10.7 	22.8 	-1.2 	-5.2 	29.0 	0.8 	35.0 	
86.6 	44.1 	34.6 	6.3 	-0.5 	-0.7 	170.4 	20.2 	-5.9 	-3.3 	-6.0 	164.8 	-3.0 	4.3 	-10.5 	22.8 	-1.4 	-5.0 	29.4 	0.8 	34.8 	
86.9 	42.9 	34.8 	6.0 	-0.3 	-0.7 	170.0 	14.1 	-6.1 	-2.9 	-6.4 	165.8 	-2.8 	4.4 	-10.4 	22.9 	-1.3 	-5.4 	29.0 	0.8 	34.9 	
87.6 	44.6 	35.8 	6.0 	-0.2 	-0.5 	175.7 	18.1 	-5.5 	-2.4 	-7.1 	165.7 	-2.8 	4.8 	-11.1 	22.8 	-1.3 	-5.2 	29.0 	0.8 	34.9 	
87.7 	44.7 	36.2 	5.9 	-0.7 	-0.4 	175.4 	18.3 	-5.8 	-2.6 	-6.9 	164.5 	-3.2 	5.3 	-10.4 	23.0 	-1.2 	-5.2 	29.0 	0.9 	35.2 	
87.4 	44.4 	34.0 	6.1 	-0.4 	-0.7 	176.4 	15.4 	-6.3 	-3.0 	-6.3 	164.4 	-2.8 	4.8 	-11.4 	23.0 	-1.3 	-5.0 	29.0 	0.8 	35.2 	
86.9 	44.7 	34.9 	6.2 	-0.4 	-0.7 	173.6 	18.2 	-6.0 	-2.3 	-5.4 	167.6 	-3.0 	5.3 	-10.3 	22.9 	-1.3 	-5.1 	29.2 	0.7 	35.0 	
87.4 	43.7 	35.4 	6.2 	-0.3 	-0.7 	176.3 	19.4 	-5.9 	-3.2 	-7.5 	164.0 	-2.9 	4.8 	-10.5 	22.8 	-1.2 	-5.1 	29.0 	0.8 	35.1 	
87.5 	44.2 	36.6 	6.0 	-0.5 	-0.5 	172.7 	17.0 	-6.5 	-2.9 	-6.7 	166.1 	-3.0 	5.0 	-10.2 	22.9 	-1.3 	-5.2 	29.1 	0.7 	35.0 	
87.5 	43.4 	35.9 	6.0 	-0.5 	-0.7 	177.0 	19.4 	-6.1 	-3.0 	-7.0 	165.5 	-2.8 	4.6 	-10.1 	22.8 	-1.3 	-5.2 	29.0 	0.8 	35.2 	
87.3 	46.4 	35.5 	5.8 	-0.5 	-0.9 	173.5 	14.2 	-5.7 	-3.4 	-5.8 	165.9 	-3.2 	3.9 	-10.6 	22.8 	-1.3 	-5.4 	28.9 	0.8 	34.9 	
87.5 	44.7 	36.6 	6.2 	-0.3 	-0.6 	176.5 	18.1 	-5.8 	-2.0 	-6.2 	163.5 	-2.4 	4.6 	-10.9 	22.9 	-1.3 	-5.3 	29.1 	0.9 	35.2 	
86.5 	44.5 	35.0 	6.0 	-0.5 	-0.6 	174.7 	19.8 	-6.0 	-3.1 	-6.1 	162.1 	-2.8 	4.7 	-10.1 	22.8 	-1.4 	-5.3 	28.9 	0.6 	35.0 	
87.3 	44.2 	34.6 	6.1 	-0.1 	-1.0 	176.5 	19.2 	-5.5 	-3.3 	-6.6 	161.4 	-3.2 	4.5 	-10.1 	22.8 	-1.3 	-5.1 	29.1 	0.8 	35.0 	
87.5 	45.3 	35.8 	6.4 	-0.4 	-0.5 	173.8 	19.8 	-6.3 	-2.8 	-7.2 	166.5 	-3.0 	4.5 	-10.3 	22.8 	-1.4 	-5.1 	28.9 	0.9 	35.0 	
87.5 	44.8 	36.8 	6.1 	-0.3 	-1.1 	174.5 	20.5 	-5.8 	-2.5 	-5.6 	167.2 	-3.0 	4.9 	-10.0 	23.0 	-1.3 	-5.0 	28.9 	0.9 	35.0 	
87.5 	43.0 	34.8 	6.2 	-0.5 	-0.9 	177.1 	16.0 	-5.9 	-3.0 	-6.7 	166.6 	-2.2 	5.4 	-10.1 	22.8 	-1.3 	-5.2 	28.9 	0.8 	35.1 	
87.9 	43.9 	33.8 	6.1 	0.0 	-0.6 	171.1 	15.2 	-5.7 	-3.0 	-6.4 	167.4 	-3.1 	4.8 	-10.8 	23.0 	-1.3 	-5.2 	28.8 	0.6 	35.0 	
87.0 	46.1 	34.0 	6.0 	-0.5 	-0.6 	176.4 	16.3 	-5.8 	-3.2 	-6.6 	167.5 	-2.8 	4.3 	-10.5 	22.6 	-1.3 	-5.3 	28.9 	0.8 	35.2 	
86.5 	44.5 	36.4 	5.8 	-0.6 	-0.5 	177.9 	15.6 	-6.3 	-3.5 	-5.8 	166.4 	-2.7 	4.6 	-10.3 	22.7 	-1.3 	-5.3 	29.0 	0.7 	35.2 	
87.7 	43.2 	34.6 	6.2 	-0.3 	-0.4 	176.5 	18.7 	-5.6 	-3.6 	-6.4 	162.8 	-3.0 	4.9 	-10.5 	23.0 	-1.3 	-4.9 	29.1 	0.8 	34.8 	
87.2 	43.6 	35.6 	6.0 	-0.5 	-0.5 	179.4 	17.4 	-5.9 	-2.2 	-6.7 	166.8 	-2.8 	5.3 	-10.9 	22.9 	-1.4 	-5.4 	29.0 	0.7 	34.9 	
86.5 	41.8 	36.0 	6.1 	-0.5 	-0.7 	176.3 	18.0 	-6.1 	-2.9 	-6.5 	164.9 	-2.9 	5.0 	-11.2 	23.0 	-1.3 	-5.2 	28.9 	0.8 	35.1 	
87.1 	43.4 	34.7 	6.1 	-0.4 	-0.8 	173.4 	19.1 	-5.5 	-2.6 	-6.5 	165.1 	-2.9 	5.2 	-10.4 	22.9 	-1.2 	-5.2 	28.9 	0.9 	34.8 	
