C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
96.4 	46.9 	38.7 	5.7 	-0.2 	-0.4 	192.5 	16.0 	-7.4 	-5.0 	-6.9 	174.8 	2.3 	7.2 	-9.9 	23.6 	-1.2 	-4.8 	33.2 	1.4 	35.5 	
97.3 	45.0 	38.0 	5.8 	-0.1 	-0.3 	188.2 	17.1 	-7.1 	-3.9 	-7.6 	171.4 	2.1 	7.1 	-10.3 	23.5 	-1.1 	-4.9 	33.3 	1.5 	35.5 	
99.0 	44.2 	36.8 	5.7 	-0.5 	-0.3 	191.3 	15.5 	-6.9 	-5.3 	-7.3 	170.5 	2.0 	7.2 	-9.4 	23.6 	-0.9 	-4.8 	33.3 	1.4 	35.6 	
96.1 	45.3 	39.3 	5.9 	-0.0 	-0.1 	191.1 	18.5 	-6.6 	-4.8 	-6.7 	176.5 	1.9 	7.3 	-10.3 	23.7 	-1.3 	-4.9 	33.4 	1.3 	35.5 	
96.7 	46.9 	38.9 	5.9 	-0.1 	-0.2 	190.5 	16.2 	-6.7 	-5.2 	-7.4 	172.4 	3.5 	6.8 	-10.6 	23.6 	-1.3 	-4.9 	33.2 	1.5 	35.5 	
96.6 	47.6 	41.5 	5.7 	-0.0 	-0.9 	187.4 	11.4 	-6.7 	-5.4 	-5.5 	169.3 	2.3 	7.2 	-9.3 	23.5 	-1.2 	-5.0 	33.3 	1.4 	35.5 	
96.3 	44.3 	37.7 	5.9 	0.3 	-0.8 	193.8 	14.9 	-6.5 	-5.7 	-6.4 	171.2 	2.2 	6.6 	-9.0 	23.6 	-1.2 	-4.9 	33.1 	1.3 	35.6 	
95.2 	47.7 	38.0 	5.7 	-0.4 	-1.0 	189.8 	19.8 	-6.6 	-5.6 	-6.4 	167.9 	2.0 	7.8 	-9.9 	23.6 	-1.2 	-4.7 	33.2 	1.3 	35.8 	
93.8 	44.3 	39.1 	6.1 	-0.2 	-0.4 	186.8 	14.7 	-7.1 	-5.0 	-6.6 	171.5 	2.7 	7.1 	-9.2 	23.5 	-1.0 	-4.8 	33.1 	1.4 	35.6 	
95.0 	44.9 	38.6 	6.0 	-0.5 	-0.4 	191.6 	16.4 	-7.1 	-4.8 	-6.8 	170.5 	1.6 	6.9 	-8.7 	23.5 	-1.2 	-4.9 	33.4 	1.6 	35.3 	
96.4 	46.1 	37.6 	6.0 	-0.3 	-0.7 	186.2 	14.8 	-6.2 	-5.6 	-5.9 	173.1 	2.4 	6.7 	-9.4 	23.5 	-1.2 	-4.8 	33.1 	1.3 	35.5 	
96.8 	48.8 	37.7 	5.9 	-0.2 	-0.1 	192.9 	17.3 	-7.3 	-5.2 	-6.4 	170.5 	2.5 	7.4 	-9.8 	23.6 	-1.0 	-4.8 	33.3 	1.4 	35.5 	
